algorithm,n,time
binary_search,31000,9e-07
ternary_search,31000,5e-07
fib_search,31000,6e-07
interpolation_search,31000,3e-07
linear_search,30500,8.86e-05
binary_search,30500,1.4e-06
ternary_search,30500,1.3e-06
fib_search,30500,8e-07
interpolation_search,30500,3e-07
linear_search,30000,8.62e-05
binary_search,30000,1.2e-06
ternary_search,30000,9e-07
fib_search,30000,7e-07
interpolation_search,30000,4e-07
linear_search,29500,7.25e-05
binary_search,29500,9e-07
ternary_search,29500,4e-07
fib_search,29500,6e-07
interpolation_search,29500,4e-07
linear_search,29000,6.63e-05
binary_search,29000,1e-06
ternary_search,29000,4e-07
fib_search,29000,5e-07
interpolation_search,29000,3e-07
linear_search,28500,3.57e-05
binary_search,28500,9e-07
ternary_search,28500,7e-07
fib_search,28500,7e-07
interpolation_search,28500,3e-07
linear_search,28000,7.01e-05
binary_search,28000,9e-07
ternary_search,28000,5e-07
fib_search,28000,5e-07
interpolation_search,28000,3e-07
linear_search,27500,6.16e-05
binary_search,27500,1.4e-06
ternary_search,27500,6e-07
fib_search,27500,6e-07
interpolation_search,27500,2e-07
linear_search,27000,4.09e-05
binary_search,27000,9e-07
ternary_search,27000,7e-07
fib_search,27000,6e-07
interpolation_search,27000,2e-07
linear_search,26500,6.07e-05
binary_search,26500,1.5e-06
ternary_search,26500,1.7e-06
fib_search,26500,1e-06
interpolation_search,26500,3e-07
linear_search,26000,0.000126
binary_search,26000,7e-07
ternary_search,26000,6e-07
fib_search,26000,7e-07
interpolation_search,26000,3e-07
linear_search,25500,8e-07
binary_search,25500,1.1e-06
ternary_search,25500,5e-07
fib_search,25500,6e-07
interpolation_search,25500,3e-07
linear_search,25000,3.39e-05
binary_search,25000,3e-07
ternary_search,25000,4e-07
fib_search,25000,5e-07
interpolation_search,25000,2e-07
linear_search,24500,9.6e-06
binary_search,24500,1e-06
ternary_search,24500,5e-07
fib_search,24500,6e-07
interpolation_search,24500,3e-07
linear_search,24000,5.48e-05
binary_search,24000,3e-07
ternary_search,24000,4e-07
fib_search,24000,5e-07
interpolation_search,24000,3e-07
linear_search,23500,5.34e-05
binary_search,23500,1.4e-06
ternary_search,23500,8e-07
fib_search,23500,8e-07
interpolation_search,23500,2e-07
linear_search,23000,2e-05
binary_search,23000,3e-07
ternary_search,23000,2e-07
fib_search,23000,3e-07
interpolation_search,23000,2e-07
linear_search,22500,2.44e-05
binary_search,22500,1.2e-06
ternary_search,22500,7e-07
fib_search,22500,5e-07
interpolation_search,22500,2e-07
linear_search,22000,1.79e-05
binary_search,22000,3e-07
ternary_search,22000,3e-07
fib_search,22000,4e-07
interpolation_search,22000,2e-07
linear_search,21500,2.17e-05
binary_search,21500,8e-07
ternary_search,21500,4e-07
fib_search,21500,5e-07
interpolation_search,21500,2e-07
linear_search,21000,4.41e-05
binary_search,21000,1.1e-06
ternary_search,21000,4e-07
fib_search,21000,3e-07
interpolation_search,21000,2e-07
linear_search,20500,1.8e-05
binary_search,20500,2e-07
ternary_search,20500,3e-07
fib_search,20500,4e-07
interpolation_search,20500,2e-07
linear_search,20000,6.59e-05
binary_search,20000,6e-07
ternary_search,20000,4e-07
fib_search,20000,5e-07
